battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1071,0,2.2,0,14,1,58,0.8,198,3,10,24,1504,617,6,0,16,1,0,1,0
1638,1,0.9,0,8,1,12,0.9,125,7,14,1511,1042,515,8,14,17,1,1,0,1
1468,1,1,0,10,0,15,0.8,162,2,14,1550,1410,3867,14,13,6,0,1,1,2
1142,0,1.3,0,1,0,16,1,123,4,0,1927,1902,2790,9,11,7,0,1,1,3
990,1,0.5,0,1,1,33,0.4,153,4,12,395,1849,1419,8,3,2,1,1,1,0
1392,0,3,1,16,1,51,0.8,118,3,13,1632,1870,1832,11,8,14,1,0,0,1
1763,1,1.3,1,13,1,4,0.3,150,5,15,127,1273,3218,11,5,11,1,0,0,2
948,1,2.5,1,0,1,40,0.8,152,7,3,882,1847,2858,13,4,6,1,1,1,3
564,0,2.7,0,3,0,41,0.4,112,5,0,266,874,1213,16,5,3,0,0,1,0
1476,1,1.3,0,5,0,39,0.1,145,3,1,1271,1782,1790,16,3,19,1,1,1,1
1273,0,2.6,1,2,1,56,0.4,95,5,3,293,1062,1888,8,0,15,1,1,1,2
1802,0,2.8,1,2,1,16,0.8,88,6,5,1561,1865,2340,5,0,14,1,1,0,3
1221,0,2.5,0,9,0,18,0.3,173,1,5,249,959,905,17,5,15,1,0,1,0
817,1,1.9,0,4,0,61,0.8,184,5,17,1478,505,1802,7,12,17,1,1,0,1
1004,1,0.7,0,16,0,17,0.6,114,6,12,665,1091,2816,15,14,18,0,0,1,2
1102,1,0.8,0,1,0,15,0.3,120,1,5,659,851,2936,12,12,4,0,0,0,3
765,1,1.8,0,12,1,5,1,139,5,15,109,1914,1056,14,3,9,1,1,1,0
1334,1,2.5,0,11,0,50,0.5,125,5,4,85,910,1171,16,12,9,1,0,1,1
548,0,2.2,0,13,0,61,0.3,113,3,13,1267,1497,1863,10,0,6,0,0,0,2
708,1,0.5,1,2,1,8,0.8,138,3,18,1670,1860,3510,13,0,12,1,0,0,3
503,0,2.9,0,1,1,9,0.1,188,6,10,484,1896,1571,9,12,2,1,0,1,0
1211,0,0.7,0,1,1,19,0.6,195,1,17,830,1949,2396,7,3,13,1,1,1,1
836,1,2.3,0,17,1,48,0.7,196,3,13,906,1992,1914,9,9,8,1,1,1,2
1452,0,1.7,1,3,1,7,0.7,175,1,15,1596,1424,3316,13,17,7,1,1,0,3
1561,0,2.1,1,5,0,51,0.2,96,4,1,758,1616,478,9,1,11,0,0,1,0
682,0,2.8,1,14,0,62,0.3,147,6,8,874,779,1453,7,15,19,1,0,0,1
1391,1,2.3,1,13,1,50,0.5,108,4,0,1912,1715,1460,8,16,18,1,0,1,2
861,1,2.2,1,4,1,30,0.5,132,7,4,1228,563,2629,12,11,5,1,0,1,3
993,1,0.9,0,2,1,41,0.1,81,1,6,426,1338,418,8,4,17,1,1,0,0
1440,1,2.9,0,4,0,19,0.4,160,2,11,1673,934,762,16,6,3,1,1,1,1
1927,1,1.2,0,1,0,58,0.4,178,6,11,70,1029,3165,10,3,17,0,0,1,2
840,0,1,0,1,0,63,1,107,1,2,917,1410,3272,15,0,10,0,1,1,3
1721,0,1.2,0,9,0,36,0.6,111,7,12,289,766,939,18,9,18,0,0,0,0
579,0,1,1,15,0,6,0.8,196,7,15,1785,568,428,15,3,8,1,0,1,1
1410,1,1.6,0,1,1,21,0.8,184,4,13,1604,1347,3037,11,12,14,1,0,1,2
1481,0,0.5,1,7,1,4,0.5,102,4,6,1801,1660,2703,16,14,13,1,0,1,3
1590,0,0.9,0,12,0,5,0.2,177,3,9,383,1192,1904,16,17,8,1,0,1,0
1635,0,0.7,1,9,1,50,0.5,118,3,12,280,824,705,18,7,3,1,1,0,1
1903,0,2,0,7,1,23,0.2,170,5,0,848,581,3040,6,7,6,1,1,1,2
1402,0,1,1,11,1,63,0.5,128,5,10,616,854,2935,16,9,10,1,1,1,3
1173,0,1,0,7,0,61,0.6,92,5,3,293,733,1101,6,8,14,1,0,1,0
1739,0,2.1,1,5,1,13,0.2,155,7,19,1776,904,2143,12,0,6,1,1,1,1
1345,0,1.7,1,4,0,3,0.3,146,1,19,1626,1616,2235,18,16,8,0,0,1,2
1967,0,2.7,0,7,1,12,0.5,103,6,15,1614,1397,3075,6,0,6,1,1,0,3
1667,1,2.8,0,7,1,54,0.7,142,2,3,1802,582,542,17,17,8,1,1,1,0
1020,1,1.9,0,2,1,2,0.9,132,4,18,1192,1873,851,14,2,6,1,0,0,1
586,0,2,1,17,0,11,0.4,131,6,19,1065,1205,2895,15,3,17,0,0,1,2
510,0,0.8,1,8,0,17,0.3,131,3,3,392,1190,3446,15,14,8,0,1,0,3
636,0,2.4,0,3,1,59,0.8,83,5,9,1700,1492,1733,17,15,16,1,1,0,0
1583,1,0.9,0,14,0,55,0.5,185,2,0,1330,1707,1393,17,17,8,1,1,0,1
1937,1,2.5,1,14,0,57,0.4,103,2,12,1865,1554,3043,15,0,17,1,0,0,2
1532,0,1.1,0,14,1,34,0.8,92,1,3,968,906,3865,17,0,16,1,0,1,3
1034,0,1.4,0,0,0,52,0.8,170,6,10,759,1077,749,9,7,16,0,1,0,0
1906,1,1.6,1,11,1,23,0.3,185,1,1,169,1418,1858,12,3,8,1,1,1,1
1040,1,2.6,1,16,0,39,0.7,193,1,5,911,1249,3759,5,8,5,1,0,0,2
917,0,1.7,0,10,0,44,1,176,4,10,852,1393,3426,16,12,7,0,1,0,3
744,1,2.3,1,16,1,43,0.9,130,4,8,768,693,1502,11,4,14,1,1,1,0
1751,1,2.8,1,13,1,48,0.8,161,2,17,495,1933,1820,14,1,13,1,0,0,1
699,0,1,0,15,1,28,0.3,187,1,9,895,1688,3553,12,4,14,1,1,1,2
1618,1,1.6,1,11,0,63,0.2,116,2,17,703,567,2832,13,8,3,0,1,1,3
1493,0,0.8,1,14,1,4,0.9,138,2,13,1195,1522,892,9,13,15,1,0,1,0
1847,1,0.6,0,6,1,35,0.5,90,5,5,1032,940,924,16,7,14,1,1,1,1
1953,1,2.6,1,8,0,62,0.9,146,4,4,1274,568,1954,10,1,4,0,0,1,2
1076,0,0.9,1,1,0,31,0.9,142,7,0,467,514,2850,16,16,11,1,0,0,3
1307,1,1.9,1,5,0,51,0.4,152,5,3,1052,1806,1744,17,13,4,1,1,0,0
